Évaluation des performances:
Précision (moyenne pondérée) : 14.06%
Rappel (moyenne pondérée) : 7.81%
F1 Score (moyenne pondérée) : 9.27%
Taux d'erreur : 92.19%

Rapport de Classification :
              precision    recall  f1-score   support

                   0.00      0.00      0.00         0
           2       0.00      0.00      0.00         0
         2 有       0.00      0.00      0.00         0
           4       0.00      0.00      0.00         0
         5 纤       0.00      0.00      0.00         0
           7       0.00      0.00      0.00         0
         ; 义       0.00      0.00      0.00         0
         ; 於       0.00      0.00      0.00         0
           C       0.00      0.00      0.00         0
           G       0.00      0.00      0.00         1
         J 多       0.00      0.00      0.00         0
          PT       0.00      0.00      0.00         0
           Z       0.00      0.00      0.00         0
           h       0.00      0.00      0.00         0
           m       0.00      0.00      0.00         1
         | 仁       0.00      0.00      0.00         0
         『 土       0.00      0.00      0.00         0
           一       0.00      0.00      0.00         1
           个       1.00      1.00      1.00         1
           中       0.00      0.00      0.00         1
           为       0.00      0.00      0.00         1
           九       0.00      0.00      0.00         0
           予       0.00      0.00      0.00         0
           事       0.00      0.00      0.00         1
           人       0.00      0.00      0.00         1
         人 .       0.00      0.00      0.00         0
           什       0.00      0.00      0.00         0
           仁       0.00      0.00      0.00         0
           仄       0.00      0.00      0.00         0
           以       0.00      0.00      0.00         2
           做       0.00      0.00      0.00         1
           内       0.00      0.00      0.00         0
           切       0.00      0.00      0.00         0
           划       0.00      0.00      0.00         1
           剃       0.00      0.00      0.00         0
           功       0.00      0.00      0.00         1
           区       0.00      0.00      0.00         0
           原       0.00      0.00      0.00         1
           受       0.00      0.00      0.00         0
           口       0.00      0.00      0.00         1
         口 次       0.00      0.00      0.00         0
           各       0.00      0.00      0.00         2
         吊 刹       0.00      0.00      0.00         0
           吧       0.00      0.00      0.00         1
           和       0.00      0.00      0.00         1
           因       0.00      0.00      0.00         4
           在       0.00      0.00      0.00         1
           地       0.00      0.00      0.00         1
           大       0.00      0.00      0.00         0
           奂       0.00      0.00      0.00         0
           奶       0.00      0.00      0.00         0
           好       0.00      0.00      0.00         3
           如       0.00      0.00      0.00         0
           妇       0.00      0.00      0.00         0
           学       0.00      0.00      0.00         0
           安       0.00      0.00      0.00         1
           尸       0.00      0.00      0.00         0
           必       1.00      1.00      1.00         1
           情       0.00      0.00      0.00         1
           我       0.00      0.00      0.00         1
           所       1.00      0.50      0.67         2
           才       1.00      1.00      1.00         1
           排       0.00      0.00      0.00         2
           旅       0.00      0.00      0.00         3
           族       0.00      0.00      0.00         0
           星       0.00      0.00      0.00         0
           是       0.00      0.00      0.00         1
           有       0.00      0.00      0.00         2
           未       0.00      0.00      0.00         0
           材       0.00      0.00      0.00         0
           来       0.00      0.00      0.00         1
           林       0.00      0.00      0.00         0
           次       0.00      0.00      0.00         0
           每       0.00      0.00      0.00         1
           江       0.00      0.00      0.00         0
           沥       0.00      0.00      0.00         0
           注       0.00      0.00      0.00         0
           洒       0.00      0.00      0.00         1
           活       0.00      0.00      0.00         0
           游       0.00      0.00      0.00         2
           潇       0.00      0.00      0.00         1
           烨       0.00      0.00      0.00         0
           热       0.00      0.00      0.00         1
           熹       0.00      0.00      0.00         0
           爱       0.00      0.00      0.00         2
           獠       0.00      0.00      0.00         0
           的       1.00      0.25      0.40         4
           看       0.00      0.00      0.00         1
         秀 ,       0.00      0.00      0.00         0
           种       0.00      0.00      0.00         1
           篱       0.00      0.00      0.00         0
           羔       0.00      0.00      0.00         0
           能       0.00      0.00      0.00         1
         节 ]       0.00      0.00      0.00         0
           蕊       0.00      0.00      0.00         0
           行       0.00      0.00      0.00         1
           要       0.00      0.00      0.00         1
           计       0.00      0.00      0.00         1
           订       0.00      0.00      0.00         0
         详 -       0.00      0.00      0.00         0
           课       0.00      0.00      0.00         1
           辆       0.00      0.00      0.00         0
           须       0.00      0.00      0.00         1
         鸿 共       0.00      0.00      0.00         0

    accuracy                           0.08        64
   macro avg       0.05      0.04      0.04        64
weighted avg       0.14      0.08      0.09        64
